ArraySize(K), NumThds, NonSIMD_Thd, SIMD_Thd,,,,,,,,,,,,
1,1,94.15,168.33,,,,,,,,,,,,
1,2,104.34,138.51,,,,,,,,,,,,
1,4,130.71,173.53,,,,,,,,,,,,
1,8,151.24,220.17,,,ArraySize(K),1 Thds + NonSIMD,1 Thds + SIMD,2 Thds + NonSIMD,2 Thds + SIMD,4 Thds + NonSIMD,4 Thds + SIMD,8 Thds + NonSIMD,8 Thds + SIMD,
4,1,148.4,428.83,,,1,1,1.79,1.11,1.47,1.39,1.84,1.61,2.34,
4,2,206.71,397.87,,,4,1,2.89,1.39,2.68,2.20,3.76,2.33,3.39,
4,4,326.75,557.99,,,16,1,4.86,1.73,4.89,2.73,6.30,3.47,6.95,
4,8,346.19,503.32,,,29,1,5.95,1.36,7.01,2.49,7.73,4.30,8.82,
16,1,169.45,823.14,,,64,1,4.16,1.93,8.65,3.01,9.51,4.62,15.24,
16,2,292.65,828.41,,,97,1,6.63,2.00,8.33,4.76,14.63,7.60,21.96,
16,4,462.47,1067.36,,,256,1,5.53,2.01,7.55,3.69,12.12,6.89,19.44,
16,8,588.09,1178.15,,,1024,1,2.58,2.05,5.05,4.00,11.78,6.15,19.82,
29,1,175.07,1042.4,,,4096,1,2.39,2.00,4.95,3.93,10.06,6.69,19.24,
29,2,238.48,1227.79,,,8192,1,2.14,1.99,4.95,3.36,9.90,5.40,19.91,
29,4,436.4,1352.43,,,,,,,,,,,,
29,8,753.64,1543.92,,,,,,,,,,,,
64,1,181.94,756.2,,,,,,,,,,,,
64,2,351.86,1574.53,,,,,,,,,,,,
64,4,547.67,1729.56,,,,,,,,,,,,
64,8,840.75,2772.17,,,,ArraySize(K), NumThds, NonSIMD_Thd, SIMD_Thd,,ArraySize(K),Speedup,,
97,1,136.03,901.96,,,,1,1,94.15,168.33,,1,1.79,,
97,2,271.44,1133.62,,,,4,1,148.4,428.83,,4,2.89,,
97,4,648,1990.4,,,,16,1,169.45,823.14,,16,4.86,,
97,8,1033.34,2986.93,,,,29,1,175.07,1042.4,,29,5.95,,
256,1,176.83,978.49,,,,64,1,181.94,756.2,,64,4.16,,
256,2,354.98,1334.28,,,,97,1,136.03,901.96,,97,6.63,,
256,4,653.16,2142.55,,,,256,1,176.83,978.49,,256,5.53,,
256,8,1218.74,3436.81,,,,1024,1,167.56,431.99,,1024,2.58,,
1024,1,167.56,431.99,,,,4096,1,158.02,378.35,,4096,2.39,,
1024,2,343.45,845.72,,,,8192,1,156.88,335.59,,8192,2.14,,
1024,4,670.69,1974.09,,,,1,2,104.34,138.51,,,,,
1024,8,1030.89,3321.49,,,,4,2,206.71,397.87,,,,,
4096,1,158.02,378.35,,,,16,2,292.65,828.41,,,,,
4096,2,315.62,782.48,,,,29,2,238.48,1227.79,,,,,
4096,4,620.85,1589.18,,,,64,2,351.86,1574.53,,,,,
4096,8,1056.85,3040.98,,,,97,2,271.44,1133.62,,,,,
8192,1,156.88,335.59,,,,256,2,354.98,1334.28,,,,,
8192,2,312.86,776.47,,,,1024,2,343.45,845.72,,ArraySize, NonSIMD_Thd, SIMD_Thd,Speedup
8192,4,527.83,1553.6,,,,4096,2,315.62,782.48,,1,94.15,168.33,1.79
8192,8,846.71,3007.48,,,,8192,2,312.86,776.47,,4,148.4,428.83,2.89
,,,,,,,1,4,130.71,173.53,,16,169.45,823.14,4.86
,,,,,,,4,4,326.75,557.99,,29,175.07,1042.4,5.95
,,,,,,,16,4,462.47,1067.36,,64,181.94,756.2,4.16
,,,,,,,29,4,436.4,1352.43,,97,136.03,901.96,6.63
,,,,,,,64,4,547.67,1729.56,,256,176.83,978.49,5.53
,,,,,,,97,4,648,1990.4,,1024,167.56,431.99,2.58
,,,,,,,256,4,653.16,2142.55,,4096,158.02,378.35,2.39
,,,,,,,1024,4,670.69,1974.09,,8192,156.88,335.59,2.14
,,,,,,,4096,4,620.85,1589.18,,,,,
,,,,,,,8192,4,527.83,1553.6,,,,,
,,,,,,,1,8,151.24,220.17,,,,,
,,,,,,,4,8,346.19,503.32,,,,,
,,,,,,,16,8,588.09,1178.15,,,,,
,,,,,,,29,8,753.64,1543.92,,,,,
,,,,,,,64,8,840.75,2772.17,,,,,
,,,,,,,97,8,1033.34,2986.93,,,,,
,,,,,,,256,8,1218.74,3436.81,,,,,
,,,,,,,1024,8,1030.89,3321.49,,,,,
,,,,,,,4096,8,1056.85,3040.98,,,,,
,,,,,,,8192,8,846.71,3007.48,,,,,
